Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity
24,"These cameras blew me way with easy of install, setup, and uses. The quality is awesome.",0,0,0,0,0,0,1,0,0,1,1,1
25,Absolutely love it! It fit my four foot swing perfectly.,0,0,0,1,0,0,0,0,0,0,0,1
26,"Great product, worked great for my husbands project",0,0,0,0,0,1,0,0,0,0,0,1
27,"Most simple and effective sprinkler for me, covers the area I need watered. I move it once after 20 minutes covers my whole garden. I didn't want some fancy high price sprinkler that essentially dose the same thing waters my garden. Very satisfied. When I was a kid these are what everyone used, still does a great job for a great price.",0,0,0,0,0,1,0,0,1,0,0,1
28,This self-contained purchase was easy to install and is working well.  Installation took about 20 minutes and only required standard tools.  I would buy this product again without a doubt or reservation.,0,0,0,0,0,1,1,0,0,0,0,1
29,Works great with no problems,0,0,0,0,0,1,0,0,0,0,0,1
30,Good quality for the money,0,0,0,0,0,0,0,0,1,1,0,1
31,"I now have 4 of these cameras between my home and my parents, and they are awesome. Much more reliable than Arlo and the Google Nest app works perfectly.",0,0,0,0,0,1,0,0,0,1,0,1
32,"Works well for a couple weeks/ months or so, starts to leak, then when you try to tighten the nozzle to stop the leak the weak strip of plastic holding the most crucial part easily tears off. This happened twice to meâ€¦ we be finding a different one for sure.",0,0,0,0,0,0,0,0,0,1,0,0
33,The perfect size for the job. I used these to hang new trim around my doors.These brad nails are strong and sturdy and my trim isn't going anywhere. They work wonderfully in my Ryobi brad nailer. I would highly recommend them.,0,0,0,1,0,1,0,0,0,1,0,1
34,Was easy to work with.,0,0,0,0,0,0,0,0,0,0,1,1
35,You have to hold the handle down for full flush. Should be a better design for the price!,0,0,1,0,0,0,0,0,0,0,0,0
36,It's good product a bit expensive but they work,0,0,0,0,0,1,0,0,1,0,0,0
37,Smaller size pex tends to be difficult to cut straight,0,0,0,0,0,0,0,0,0,0,1,0
38,Very good quality of material and easy to install. Very pleased with this product.,0,0,0,0,0,0,1,1,0,0,0,1
39,Works great with my Worx nail gun!!,0,0,0,0,0,1,0,0,0,0,0,1
40,Great product. Wish I had it long ago. It made the job easy. Well worth the money. I would highly recommend this product,0,0,0,0,0,0,0,0,1,1,0,1
41,"Easily cut water pipeline, clean cut. Used to install replacement outdoor water faucet.",0,0,0,0,0,1,0,0,0,0,0,1
42,Great roofing nails. Worked fine in my harbor freight gun.,0,0,0,0,0,1,0,0,0,0,0,1
43,They are too think and the top keeps falling down all day long.  Maybe I just didn't get the right size but I ordered the same last year and they were much better quality,0,0,0,1,0,0,0,0,0,1,0,0
44,"I love this product for a number of reasons.  Mid range pricing. The kit comes with everything you need to install a new toilet.  If you are kind of picky (like some of the installers I know who are A+ contractors) then pick up a good quality O ring kit and you are set.  I have bought this on 8 or 9 different occasions.  It has never been out of stock when I needed one.  The toilet seat does not crash to toilet (hands free quiet close) when you lower it.  So far, the toilet seat has stayed in place and not developed that annoying slip and slide toilet seat we are all so fond of  Not.  The flush is very powerful despite being a lo flow toilet.",0,0,0,0,1,1,0,0,1,0,0,1
45,Broken box and nails were bent and scattered,0,1,0,0,0,0,0,0,0,0,0,0
46,Horrible. Holes does not match most lights or fans mounting brackets. Total useless. I threw it away.,0,0,1,0,0,0,0,0,0,0,0,0
47,Excellent sprinkler with lots of coverage and adjustments to assure everything possible is watered.,0,0,0,0,1,1,0,0,0,0,0,1
48,Horrible product. Don't waste your money. After attaching it to water hose the water only sprays approx.. 6-inches off the ground. I dont have water pressure issues. This complely a product issue.See more,0,0,0,0,0,1,0,0,1,0,0,0
49,The camera works well and it's great for the price,0,0,0,0,0,1,0,0,1,0,0,1
50,The soft spray reaches a wide area and the sprinkler is light and easy to move from one place to another. Best garden purchase I've made in years.,0,0,0,0,0,1,0,0,0,0,1,1
51,"Overall the cushion is well made, color was exactly what I wanted, but the bottom cushion was supposed to be 5 inches thick. As you can see from the attached photo it's not even 4 inches. Because it is not thick enough, it's not comfortable. I wanted for a soft that I nap on, and it's just not thick enough.Description should have read 4 inches. It's almost 4 not quite.",0,0,1,1,0,0,0,0,0,1,1,0
52,Sits higher and is comfortable. Stylish.,0,0,1,1,0,0,0,0,0,0,1,1
53,"I love this sprinkler, I like being able to adjust the angle of the water jets.",0,0,0,0,1,0,0,0,0,0,0,1
54,Beautiful and sturdy!,0,0,1,0,0,0,0,0,0,1,0,1
55,Love the gun and nails.Incredible improvement over air BUTNails terribly boxed by shipper.Always comes blown up because the Dewalt box is allowed to float around in a larger shipping box.This has been constant with every shipment for a year. Should do better. Always wastes some nails cause strips are broken,0,1,0,0,0,0,0,0,0,0,0,0
56,"This 3 piece set includes a spray wand, and two pistol grip hose spray nozzles. The wand and one of the nozzles feature 5 different patterns of spray. The additional nozzle has an adjustable collar which varies the spray from a jet to a wide shower spray. The wand has an on-to-off control in the handle, and the other two feature a flow control and trigger lock on the top of the handle. They are all constructed with a metal core, and a rubberized soft grip outer shell. The pattern selectors change with a loud satisfying click. I maintain a large pond, and go through alot of the Dollar Store versions of these. Expert Gardener's are the real deal, and I could tell the quality as soon as I used them. The wand is a new toy for me, and looks like it will be handy for hanging flower pots and rinsing off the pond filter.I've only had them a few weeks, but they are used heavily, and I'm very satisfied with the entire set.See more",0,0,0,0,0,0,0,0,0,0,1,1
57,"work well, very few jams.",0,0,0,0,0,1,0,0,0,0,0,1
58,The C Clamp may be set with one hand and that is great when working alone. Easy to place and close.,0,0,0,0,0,0,0,0,0,0,1,1
59,Great little nailer for the money.   It replaces a Porter-Cable that worked okay and was stolen.   This one is much smoother and better built overall.  Definately recommend.,0,0,1,0,0,0,0,0,1,1,0,1
60,I used this to mount a ceiling fan and it worked great. No issues. Basic instructions were included in the box consisting of a small piece of paper folded up...,0,0,0,0,0,1,0,0,0,0,0,1
61,"Quality nails, but I wish they would sell them in a 500 count box also. I'm not building a house every time I need some nails.",0,0,0,0,0,0,0,0,0,1,0,1
62,"Bougt this to bore a slip tunnel under my driveway to run a drip line.  The slab was 13 ft wide and I made all the way.  However I did break the tip off the small nozzel, but not surprised.  I hit a couple of rocks but it made it all the way through.",0,0,0,0,0,0,0,0,0,1,0,1
63,Very good quality and very comfortable!,0,0,0,0,0,0,0,0,0,1,1,1
64,The instructions were very easy to use. And the price was very very cheap for good product.,0,0,0,0,0,0,1,0,1,0,0,1
65,"Works well.  I was using this to work on my son's pinewood derby car.  It is a perfect fit for smaller items you are working on.  It is small, is not clunky, and does not get in the way.",0,0,0,1,0,1,0,0,0,0,0,1
66,"I like the Blink XT2s except I assumed I could keep them inside the house and point them out the window. I was wrong. Doesn't matter the sensitivity, they won't work through glass like my D-Link 933Ls do. So I simply don't use them through glass. Other than that, I love'em. Easy to program and set up.",0,0,0,0,0,1,1,0,0,0,1,1
67,Very well made! Great price too.  Installed quickly- included slow close lid.,0,0,0,0,0,0,1,0,1,1,0,1
68,Tool worked perfect. Did not try the clamps that came with it.,0,0,0,0,0,1,0,0,0,0,0,1
69,This sprinkler works well but the range of the spray cannot but adju. There's lot of rearranging of this Devi to ensure that the water is not going into the street or the neighbor's yard.,0,0,0,0,0,1,0,0,0,0,0,1
70,Lightweight plastic. Broke within one week. Quite ridiculous.,0,0,0,0,0,0,0,1,0,1,0,0
71,"Beautiful, thick cushions! Ties to anchor to chairs sturdy",0,0,1,1,0,0,0,0,0,1,0,1
72,Large crack emerged at the back of the base. Toilet is still functional but going to have to do it all over again - parts and labor both paid for in vain.,1,0,0,0,0,0,0,0,0,0,0,0
73,"Love, Love... Genius... I live in an apt. with swing windows, mosquito and flies have always been a problem. I brought spray gorilla glue placed the Velcro added the screen perfect...love love love... Highly recommend.",0,0,0,0,0,0,0,0,0,1,0,1
74,The screen was very easy to work with. We used it under our deck to keep bugs from coming on the deck.,0,0,0,0,0,0,0,0,0,0,1,1
75,Can fit different types of chairs,0,0,0,1,0,0,0,0,0,0,0,1
76,"I bought 3 of these to use when I was building a barn door for my office. They are awesome. Not the most durable clamps in the world, but if you take care of them, they could last quite a while. I would definitely recommend.",0,0,0,0,0,0,0,0,0,1,0,1
77,"This is brace is sturdy and well made, very pleased",0,0,0,0,0,0,0,0,0,1,0,1
78,Had it a few weeks now and haven't been able to plug it up yet! Great toilet for the money!,0,0,0,0,0,0,0,0,1,0,0,1
79,Made cutting the hose so much easier.,0,0,0,0,0,1,0,0,0,0,0,1
80,Easy to work with.,0,0,0,0,0,0,0,0,0,0,1,1
81,"Like some other reviewers have said, the tank and the lid were not the same shape which makes a loose and noisy  fit.  Even though it ""works"" I would call it ""defective"".  And Disappointing.  Can't really recommend it for that reason.  Might be able to save it with some grinding on the lid and some foam tape on the tank. This defect may not be true for all production of this model, but it was for the one I got.  Otherwise, it installs fine and even the low volume flush pushes solids through.  Just one more note....hook up the line that attaches to the tank before you mount the tank on the toilet.   The seat when properly installed is secure.",0,0,1,1,0,0,0,0,0,1,0,0
82,Flushes great and stays clean. Great buy for the price: we have 3!,0,0,0,0,0,1,0,0,1,0,1,1
83,"Love the gold color, great for my outdoor furniture and very comfortable.",0,0,0,0,0,0,0,0,0,0,1,1
84,"We actually only needed for a few days because of the drought but it worked great and got the job done, even an adjustment for the smaller areas! Well worth the money.",0,0,0,0,0,1,0,0,1,0,0,1
85,"I purchased multiple cameras to help me figure out some cat elimination issues. These were very helpful to figure out trends and gather information about my cats bowel movements. I had one on each room the litter boxes were in, and one where she has been going when she doesn't want to use a box.The field of view is great! Mounting options awesome! The camera is on a stiff ball base that can adjust the view of the camera.Night view is pretty awesome! Works incredibly well.Motion detection is pretty good, except for the black cat (ironically the one with issues). The motion sensors seem to have a hard time picking her up.I'm overall impressed with these cameras hardware.Ring app is also pretty good! I'm bummed out it's paid, but they do store the videos on a remote server, so I don't really penalize a fee. Intuitive, many many customizable setup options, great product.",0,0,0,0,1,1,0,0,0,0,0,1
86,"I own four of these have used them in several states with varying climates. I built a small sunshade for one in a particularly hot location, but that was primarily for my peace of mind. I've never had a reliability issue with them and highly recommend.",0,0,0,0,0,0,0,0,0,1,0,1
87,"As an electrician, I installed many ceiling fans in my career. This box can be installed from below the ceiling. It does need to be secured to a ceiling joist, but this can easily be done without crawling in an attic. Of course, you still need to sort out power, which is relatively easy to ""fish"" from an existing source.",0,0,0,0,0,0,1,0,0,0,0,1
88,"Easy to use and install anywhere you want ceiling lights or fan where no outlet exists. So easy, a 68 yr old greatgrandma can do it.",0,0,0,0,0,0,1,0,0,0,1,1
89,Works great and easy setup and use.,0,0,0,0,0,1,1,0,0,0,1,1
90,Works great. I have a big yard and it covers the ares that I need it to,0,0,0,0,0,1,0,0,0,0,0,1
91,The best tool I've probably ever purchased brand new for $50. Works great. Definitely would recommend,0,0,0,0,0,1,0,0,0,1,0,1
92,Not sure why it doesn't tie into the Cam plus that I had with a trial on some indoor cameras. Battery is fine. Time recorded is too short with our the subscription service.,0,0,0,0,0,1,0,0,0,0,0,0
93,Great product and price. Fast free delivery.,0,1,0,0,0,0,0,0,1,0,0,1
94,I have two toilets with this design and will never go back to the old design. The straight line to the floor makes cleaning the bathroom so much easier!,0,0,1,0,0,0,0,0,0,0,1,1
95,"These worked perfectly, not a lot of bending in the wood.",0,0,0,0,0,1,0,0,0,0,0,1
96,This was a huge disappointment. It looks great in the pictures but it is an extremely weak flush. I peed and after one flush it didn't even get all the bubbles out and the water was still yellow. I wrote to the company and they said if you want a more powerful flush you have to hold the lever down for about 10 seconds with each flush. I'm sorry but I didn't spend money on a brand new toilet just so I would have to stand there and hold the lever down for that long with each time I flushed. Do yourself a favor and get at minimum a 1.6 gallon flush because the 1.28 gallon toilets are cheap water saving pieces of garbage.,0,0,0,0,0,1,0,0,0,0,0,0
97,Made well & works great!,0,0,0,0,0,1,0,0,0,1,0,1
98,Love it! I will recommend to friends family and others.,0,0,0,0,0,0,0,0,0,1,0,1
99,"I've been using 2 of these since Feb 2020, and both are still working great! I have 6 separate locations I place these 2 sprinklers in to fully cover my front & back yards, and they have the exact pressure and adjustability I need to reach that full coverage without wasting water shooting into the street or into my neighbors yard. I can only water my lawn twice a week due to HOA rules, but that's still a lot of movement each week, and they've held up great. Unfortunately I did just drop one of the sprinklers on some concrete, right on its head, so the width controls are broken on that one now, but that just happened today, after over a year of use. But I'm so happy with these, that I'll be purchasing a replacement shortly.",0,0,0,0,0,1,0,0,0,0,0,1
100,Cushions holding up well after a month of use. Color and size is accurate. Seller provides great customer service with quick communication and follow up.,0,1,0,0,0,0,0,0,0,1,0,1
101,"super comfortable - i had a set of chairs that is very hard to fit cushions to unless custom made, and these did a nice job.",0,0,0,1,0,0,0,0,0,0,1,0
102,"Works very well. I used this to replace the plumbing for an outdoor faucet, even added a valve before the faucet. Took a total of 30 minutes, not counting actually mounting the faucet itself. No leaks the first time around, I am happy.",0,0,0,0,0,1,0,0,0,0,0,1
103,"No, not enough pressure to even clean a vinyl fence.",0,0,0,0,0,1,0,0,0,0,0,0
104,I like this product because I asked my plumber what he recommended and bought for his home.  He recommended the Standard Champion 4 Water Sense commode.  He said he has this brand and model in his home.  It is working well.  I have had knee replacement surgery in the past 2 weeks.  I especially like the way this commode sits up higher.  It appears to use very little water.  It appears to be strong and made well.,0,0,0,0,0,1,0,0,0,1,0,1
105,Easy to use perfect for every use I have for it . Quality product,0,0,0,0,0,0,0,0,0,1,1,1
106,Love it. Works great. Clear pics. Large field of vision.,0,0,0,1,0,1,0,0,0,1,0,1
107,Had two old metal round electrical boxes for two outside lights. Decided to change lights to LED and the old boxes were on their last leg so replaced with these plastic boxes. Easy to work with and think they will be here after I'm gone!,0,0,0,0,0,0,0,0,0,0,1,1
108,It was exactly what I needed and the price is fabulous. Home depot came through with having them available. A really great buy.,0,0,0,0,0,0,0,0,1,0,0,1
109,"I needed to replace several weathered boards on the outside of my house. This size was ideal for my framing nail gun, where I didn't need the larger framing nails. Excellent for outdoor exposure.",0,0,0,1,0,0,0,0,0,0,0,1
110,Great cam for price. Very Simple install. I recommend for anyone that uses nest products.,0,0,0,0,0,0,1,0,1,1,0,1
111,Worked great I have a craftsman air nailer and was wondering if they would work with the craftsman will buy these nails again,0,0,0,0,0,1,0,0,0,0,0,1
112,"Love my new outdoor cushions, measurements were true and quality better than I expected!",0,0,0,0,0,0,0,0,0,1,0,1
113,Good screen and easy to work with.,0,0,0,0,0,0,0,0,0,0,1,1
114,"Worked great upon purchase and liked the feel of it. After only a week, water came out 2 inches of the side of the wand where the logo is. Leading me to believe it is not designed well for a lot of Water pressure like we have. Returning it shortly and buying another.",0,0,1,0,0,0,0,0,0,1,0,0
115,Bought one a few months ago and it worked well so bought another.,0,0,0,0,0,1,0,0,0,0,0,1
116,Really surprised it's quality and ease to set up...,0,0,0,0,0,0,1,0,0,1,0,1
117,"When extended fully this bends/flexes significantly under the weight of the ceiling fan, we had to brace it from above to make it useable.",0,0,0,0,0,0,0,0,0,1,0,0
118,"Easy to set up, and the picture is amazing. Worth every penny.",0,0,0,0,0,0,1,0,1,1,0,1
119,Looks great and has strong flush,0,0,1,0,0,1,0,0,0,0,0,1
120,The nails are very easy to install into the gun and work firing very good.,0,0,0,0,0,1,1,0,0,0,0,1
121,Worked just like advertised.  Great for reno work.,0,0,0,0,0,1,0,0,0,0,0,1
122,Easy to assemble and sturdy,0,0,0,0,0,0,1,0,0,1,0,1
123,if you have the trim gun. u need it.other then it is to expensive.,0,0,0,0,0,0,0,0,1,0,0,0
124,Better quality screen for a replacement. Good fit,0,0,0,1,0,0,0,0,0,1,0,1
125,This is the perfect size to screen the doors for summer. The as seen on TV screens are just crap. These will last several summers if I take them down and store them during winter months.,0,0,0,1,0,0,0,0,0,0,0,1
126,One of the toilets i bought did not have the hard ware to put the tank on or caps to cover the bolts to the floor,1,0,0,0,0,0,0,0,0,0,0,0
127,I received the opened package and opened product from Home Depot. When i check with rep they told they opened to make sure the confirmed product. I am still check the performance not exactly i can comment on now.,0,1,0,0,0,0,0,0,0,0,0,0
128,"The picture quality is good when there is no or slow activity. If the person is moving fast, all you see is a blurry image.The sound quality is EXTREMELY POOR.",0,0,0,0,0,0,0,0,0,1,0,0
129,Very strong and easy to use.,0,0,0,0,0,0,0,0,0,1,1,1
130,"I have had my Melnor oscillating sprinkler for over 20 years. No problems, still works like new.",0,0,0,0,0,1,0,0,0,0,0,1
131,I bought this to replace and old one and it works very well.  It was easy to adjust and the spray patterns were just a described.,0,0,0,0,0,1,0,0,0,0,1,1
132,The installation was easy except two things:1. I had to grind off the tabs on the supply line because there wasn't enough clearance to screw the connection onto the fitting on the toilet tank.2. The was another clearance problem with the bolts on the toilet seat. I had to use a screwdriver on the heads of the bolts. The tabs on the nuts hit the toilet and would not turn by hand.,1,0,0,0,0,0,1,0,0,0,0,0
133,Like the thickness and that it resists rain.,0,0,0,1,0,0,0,0,0,0,0,1
134,"It occasionally stops oscillating. It seems to swing lower on one side than the other. I've tried playing with the settings. It was a waste of time. What should I expect for  about 10 bucks, right?",0,0,0,0,0,1,0,0,0,0,0,0
135,"I purchased this along with the copper crimp tool set. I needed to salvage/reuse the the water line valves on 1/2 in pex line. the tip does not fit into any 1/2 in valve or fitting.  It does work with 1/2 in brass  fittings though. I had to get creative and remove the rings with my ryobi multi tool to cut the rings off. Had to be careful not to damage the valve but it worked just fine. removed the crimp rings and was able to re use the water valves, since homedepot did not have the correct size I needed. Still a decent price and it does complete the tool set, will keep it for future projects.",0,0,0,1,0,0,0,0,1,0,0,0
136,i bought this tool to use as a spreader bar. I could not get the force required without the bar deflecting. As a clamp it appears to work ok,0,0,0,0,0,1,0,0,0,0,0,0
137,This toilet was easy to set in place and to assemble.,0,0,0,0,0,0,1,0,0,0,0,1
138,Better than I expected.  Easy control of water flow.  Many option for the water flow.,0,0,0,0,0,0,0,0,0,0,1,1
139,Good product and easy to work with.,0,0,0,0,0,0,0,0,0,0,1,1
140,Good price and quality......worked great for clamping when you can't get close enough and they make one even deeper.,0,0,0,0,0,1,0,0,1,1,0,1
141,Nice cushions and more comfortable than I expected.,0,0,0,0,0,0,0,0,0,0,1,1
142,"I use the 4S Deep rather than the standard depth most of the time because, while they cost more, I mainly like the extra room and they are an avenue for me to add something which a customer may later decide to have me install.  I don't like compressing wire to squeeze a cover on a box for multiple reasons = code requirement, possibility of creating an issue and ease of working.",0,0,0,1,0,0,0,0,0,0,0,1
143,used about 1/4 of box feeds good no jams,0,0,0,0,0,1,0,0,0,0,0,1
144,Very nice. Contained all the parts needed to make for an easy installation.,1,0,0,0,0,0,0,0,0,0,0,1
145,Great camera for indoor or outdoors.  Easy set up. Although it took 3 times before it took. Basically a plug and play item. Have 2 other Ring products that makes it so much easier. Can add more ring cameras where needed.,0,0,0,0,0,0,1,0,0,0,0,1
146,"This is my 4th camera Wyze camera, Older versions are also still working Years LaterBut this is a great upgrade for the V2 model, well worth the money.",0,0,0,0,0,0,0,0,1,0,0,1
147,I bought three of these toilets for a renovation project in my home. Two of them work the third one that went in my master bathroom doesn't. It flushes about 20% of the time. My contractor told me he's had problems out of this exact toilet many many times. I do not recommend.,0,0,0,0,0,1,0,0,0,1,0,0
148,"Works very well. The individual adjusters for left and right sides left me tailor the pattern (how far to the sides is the spray). Sometimes I need to be against a wall or curb, and don't want to water the wall or street. The rotate stops let me decide how long is the swath. Only defect is the thumb grip over the hose connector is loose. It can turn without turning the hose connector, so I have to squeeze it. All plastic construction is okay, but would've preferred a metal base to weight it down when positioned. I have to turn on the hose to watch for any movement of this sprinkler.See more",0,0,0,1,1,1,0,0,0,0,0,1
149,excellent quality,0,0,0,0,0,0,0,0,0,1,0,1
150,Nice quality. Lower vision not nearly thick enough. I can't use these without another cushion under.,0,0,0,1,0,0,0,0,0,1,0,0
151,Set up is easy and it just works. The nest app is great too. Only downside is the service subscription but it's priced similarly to other options and works better IMO.,0,0,0,0,0,1,1,0,0,0,0,1
152,"Love this toilet.  Very sleek,stylish and quiet.  Read other reviews, especially the one on competitor website that said they had fecal matter constantly left in the bowl - glad to report none such issue for our family of four!",0,0,1,0,0,1,0,0,0,0,0,1
153,Strong nails no jamming.,0,0,0,0,0,1,0,0,0,1,0,1
154,"PEX is an awesome system. I was worried because I never worked with PEX before, but I made 40 good out of 40 total 1-inch PEX crimps to install a DIY Water Softener + Carbon prefilter.There were some positions/postures when I did not know if I had enough two-hand and chest strength to squeeze this tool until the light came on, but I finally managed.Warning: This crimper packaging say this tool is not for ZURN brand crimp rings, so I had to exchange 40 ZURN crimp rings for another brand.",0,0,0,0,0,1,0,0,0,0,0,1
155,Nice quality clamps for the price.,0,0,0,0,0,0,0,0,1,1,0,1
156,The accompanying toilet suite is too flimsy. The way the seat folds back into the cover is inconvenient for a male user who urinates and attempts to leave the seat (but not the cover top) down in courtesy to females who might follow. I plan to search for a better seat to replace the original..,0,0,0,0,0,0,0,0,0,1,1,0
157,"Easy to install? Since it is a kit, it is much easier than trying to assemble individual pieces. It is well thought out but installing an outlet in the floor generally is a chore. You deal with insulation, you are in a crawl space working overhead, it is dirty....none of which is the fault of the kit.",0,0,0,0,0,0,1,0,0,0,0,1
158,"Just getting into woodworking, and these have proven indispensable. They are very helpful in clamping down wood pieces to a table before I make my cuts. I highly recommend these very anyone interested in woodworking. They are very strong and the release mechanism is very convenient to use.",0,0,0,0,0,0,0,0,0,1,1,1
159,Excellent clamp for bigger jobs. Sturdy and easy to use!,0,0,0,0,0,0,0,0,0,1,1,1
160,They are beautiful and withstood the resent rainstorms well.,0,0,1,0,1,0,0,0,0,0,0,1
161,The insect screen was easy to work with.  I used it to replace the old torn screen.,0,0,0,0,0,0,0,0,0,0,1,1
162,"These nails are strong, hold tight and will stand the test of time. Recently, I used the nails to construct a number of raised garden beds for a client. The beds were all around 8' long and 2' tall. The nails hold the beds together better and faster than any screw. When these nails go in, they don't come out.",0,0,0,0,0,1,0,0,0,1,0,1
163,Fit perfect in Bostitch nail gun.,0,0,0,1,0,0,0,0,0,0,0,1
164,I really enjoy the ratcheting handles works alot better than the crimping tool i paid 50 for at the home depot,0,0,0,0,0,1,0,0,0,0,0,1
165,I searched all over for the right patio cushions and was happy to find them on sale at Home Depot. They are pretty & very comfortable.,0,0,1,0,0,0,0,0,0,0,1,1
166,"These were a beautiful and well made set of cushions. And at an unbelievable price. I bought three sets for my porch glider, but unfortunately I had to return them as they were several inches too wide for the glider. I really wish they had worked for me. Nicely made and firm.",0,0,1,0,0,0,0,0,1,1,0,1
167,An inexpensive C clamp for clamping things in place. I would not recommend it if you need it for heavy duty applications... for general purpose use only.,0,0,0,0,0,0,0,0,1,0,0,1
168,Not universal. The wood trim used on the sides is too thick to fit into the screen space that I have.,0,0,0,1,0,0,0,0,0,0,0,0
169,Great experience. Great product. Great delivery.,0,1,0,0,0,0,0,0,0,0,0,1
170,Exceptional product. I strongly recommend the indoor camera,0,0,0,0,0,0,0,0,0,1,0,1
171,Load easily and work well,0,0,0,0,0,1,0,0,0,0,1,1
172,"This was so easy to install! The magnet aspect of it works amazing. I don't have to worry about flies and mosquitos anymore. Would be great for pets to come in and out of. I recommend this to anyone with a glass door, literally. I plan to buy a few as Christmas gifts. It may sound random but this is one of those products you don't think to buy, but once you have it, you love it and wonder why you didn't think to get one sooner. I'm super happy!",0,0,0,0,0,1,1,0,0,1,0,1
173,The quality are great. Nice and strong and able to handle roughness. The nozzle end themselves can be turned to change the control of how you want it to spray. Works very well. Yes I would recommend these to friends and family.See more,0,0,0,0,0,1,0,0,0,1,0,1
